zamo-uri;skos-match;aligned-uri
https://w3id.org/zeri/ontology/zamo/events#transfersCustodyOf;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P30_transferred_custody_of
https://w3id.org/zeri/ontology/zamo/events#disputes;http://www.w3.org/2004/02/skos/core#narrowMatch;http://purl.org/spar/cito/disputes
https://w3id.org/zeri/ontology/zamo/events#hasSurrender;http://www.w3.org/2004/02/skos/core#broaderMatch;http://www.cidoc-crm.org/cidoc-crm/P23_transferred_title_from
https://w3id.org/zeri/ontology/zamo/events#hasSurrender;http://www.w3.org/2004/02/skos/core#broaderMatch;http://www.cidoc-crm.org/cidoc-crm/P28_custody_surrendered_by
https://w3id.org/zeri/ontology/zamo/events#takesPlaceIn;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P7_took_place_at
https://w3id.org/zeri/ontology/zamo/events#participatesIn;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P11i_participated_in
https://w3id.org/zeri/ontology/zamo/events#isPerformedBy;http://www.w3.org/2004/02/skos/core#narrowMatch;http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by
https://w3id.org/zeri/ontology/zamo/events#hasReceiver;http://www.w3.org/2004/02/skos/core#broaderMatch;http://www.cidoc-crm.org/cidoc-crm/P22_transferred_title_to
https://w3id.org/zeri/ontology/zamo/events#hasReceiver;http://www.w3.org/2004/02/skos/core#broaderMatch;http://www.cidoc-crm.org/cidoc-crm/P29_custody_received_by
https://w3id.org/zeri/ontology/zamo/events#hasPrice;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P179_had_sales_price
https://w3id.org/zeri/ontology/zamo/events#isConstrainedBy;http://www.w3.org/2004/02/skos/core#narrowMatch;http://www.cidoc-crm.org/cidoc-crm/P15_was_influenced_by
https://w3id.org/zeri/ontology/zamo/events#hasProposedPrice;http://www.w3.org/2004/02/skos/core#narrowMatch;http://www.cidoc-crm.org/cidoc-crm/P40_observed_dimension
https://w3id.org/zeri/ontology/zamo/events#transfersPropertyOf;http://www.w3.org/2004/02/skos/core#broaderMatch;http://www.cidoc-crm.org/cidoc-crm/P24_transferred_title_of
https://w3id.org/zeri/ontology/zamo/events#assignsAgentAsAttribute;http://www.w3.org/2004/02/skos/core#narrowMatch;http://www.cidoc-crm.org/cidoc-crm/P141_assigned
https://w3id.org/zeri/ontology/zamo/events#consistsOf;http://www.w3.org/2004/02/skos/core#narrowMatch;http://www.loa-cnr.it/ontologies/DUL.owl#hasPart
https://w3id.org/zeri/ontology/zamo/events#cites;http://www.w3.org/2004/02/skos/core#narrowMatch;http://purl.org/spar/cito/cites
https://w3id.org/zeri/ontology/zamo/events#hasPurpose;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P20_had_specific_purpose
https://w3id.org/zeri/ontology/zamo/events#reliesOn;http://www.w3.org/2004/02/skos/core#narrowMatch;http://purl.org/spar/cito/isSupportedBy
